
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;godfond sverige & världen;goldman sachs asia equity income p;goldman sachs global equity impact opportunities p;goldman sachs global social impact equity p;goldman sachs greater china equity p;goldman sachs green bond p;goldman sachs japan equity p (former nn);goldman sachs protection p;handelsbanken amerika tema a1;handelsbanken asien tema a1;handelsbanken developed markets index criteria a1;handelsbanken emerging markets index a1;handelsbanken europa index criteria a1;handelsbanken global index criteria a1;handelsbanken global småbolag index criteria a1;handelsbanken global tema a1;handelsbanken hälsovård tema a1;
2023-06-14;-0,066;;0,000;-0,024;-0,033;-0,032;-0,024;-0,015;-0,077;-0,029;;-0,033;-0,062;-0,070;-0,035;-0,036;0,029;
2023-06-15;-0,066;;0,005;-0,019;-0,021;-0,033;-0,027;-0,011;-0,075;-0,025;;-0,029;-0,062;-0,069;-0,038;-0,036;0,030;
2023-06-16;-0,065;;0,004;-0,023;-0,024;-0,031;-0,026;-0,011;-0,072;-0,025;;-0,029;-0,058;-0,066;-0,037;-0,034;0,034;
2023-06-19;-0,067;;;;-0,025;-0,033;-0,031;-0,010;;-0,023;;-0,027;-0,058;;;;;
2023-06-20;-0,068;;0,002;-0,025;-0,031;-0,030;-0,031;-0,009;-0,068;-0,025;;-0,028;-0,057;-0,063;-0,034;-0,033;0,035;
2023-06-21;-0,074;;0,001;-0,024;-0,034;-0,030;-0,026;-0,006;-0,073;-0,031;;-0,034;-0,063;-0,069;-0,038;-0,038;0,032;
2023-06-22;-0,076;;-0,002;-0,029;;-0,032;-0,030;-0,009;-0,076;;;;-0,066;-0,072;-0,044;-0,042;0,032;
2023-06-26;-0,079;;-0,007;-0,035;-0,048;-0,027;-0,043;-0,012;-0,075;-0,038;;-0,041;-0,068;-0,073;-0,045;-0,043;0,027;
2023-06-27;;;;;;;;;;;;;;;;;;
2023-06-28;-0,071;;-0,002;-0,031;-0,050;-0,028;-0,039;-0,008;-0,072;-0,032;;-0,037;-0,061;-0,068;-0,037;-0,038;0,030;
2023-06-29;-0,069;;0,003;-0,026;-0,048;-0,030;-0,035;-0,005;-0,066;-0,031;;-0,035;-0,058;-0,063;-0,030;-0,034;0,033;
2023-06-30;-0,065;;0,008;-0,020;-0,041;-0,029;-0,034;-0,004;-0,066;-0,034;;-0,037;-0,055;-0,063;-0,030;-0,033;0,034;
2023-07-03;-0,065;;0,005;-0,023;-0,035;-0,030;-0,032;-0,004;-0,064;-0,026;;-0,029;-0,056;-0,060;-0,028;-0,031;0,031;
2023-07-04;-0,065;;;;-0,031;-0,031;-0,035;-0,003;;-0,025;;-0,027;-0,056;;;;;
2023-07-05;;;;;;;;;;;;;;;;;;
2023-07-06;-0,071;;-0,001;-0,027;-0,044;-0,035;-0,037;-0,006;-0,065;-0,032;;-0,032;-0,063;-0,062;-0,033;-0,033;0,032;
2023-07-07;-0,073;;-0,003;-0,028;-0,043;-0,035;-0,036;-0,004;-0,064;-0,034;;-0,036;-0,065;-0,063;-0,031;-0,034;0,029;
2023-07-10;-0,073;;-0,000;-0,028;-0,044;-0,035;-0,040;-0,006;-0,070;-0,037;;-0,039;-0,065;-0,067;-0,030;-0,037;0,025;
2023-07-11;-0,074;;0,001;-0,029;-0,043;-0,036;-0,039;-0,007;-0,072;-0,037;;-0,039;-0,068;-0,070;-0,031;-0,038;0,018;
2023-07-12;-0,075;;0,001;-0,028;-0,035;-0,033;-0,041;-0,007;-0,074;-0,041;;-0,042;-0,068;-0,073;-0,033;-0,041;0,010;
2023-07-13;-0,078;;-0,006;-0,034;-0,038;-0,030;-0,041;-0,014;-0,082;-0,044;;-0,046;-0,069;-0,079;-0,039;-0,047;0,004;
2023-07-14;-0,078;;-0,009;-0,036;-0,045;-0,030;-0,050;-0,017;-0,078;-0,042;;-0,042;-0,067;-0,076;-0,040;-0,045;0,007;
2023-07-17;-0,078;;-0,010;-0,038;-0,049;-0,029;;-0,018;-0,078;;;-0,041;-0,069;-0,076;-0,040;-0,046;0,011;
2023-07-18;-0,076;;-0,010;-0,038;-0,055;-0,026;-0,047;-0,017;-0,077;-0,045;;-0,044;-0,069;-0,076;-0,036;-0,044;0,012;
2023-07-19;-0,075;;-0,005;-0,034;-0,055;-0,027;-0,043;-0,016;-0,073;-0,047;;-0,047;-0,067;-0,074;-0,035;-0,043;0,015;
2023-07-20;-0,075;;-0,007;-0,036;-0,056;-0,029;-0,048;-0,016;-0,072;-0,045;;-0,044;-0,065;-0,072;-0,034;-0,042;0,020;
2023-07-21;-0,073;;-0,002;-0,029;-0,050;-0,028;-0,044;-0,014;-0,069;-0,043;;-0,041;-0,062;-0,069;-0,032;-0,041;0,027;
2023-07-24;-0,072;;-0,002;-0,028;-0,043;-0,027;-0,045;-0,014;-0,069;-0,046;;-0,042;-0,063;-0,069;-0,032;-0,041;0,028;
2023-07-25;-0,069;;-0,001;-0,030;-0,034;-0,027;-0,046;-0,017;-0,067;-0,035;;-0,033;-0,061;-0,065;-0,031;-0,038;0,028;
2023-07-26;-0,069;;-0,004;-0,029;-0,033;-0,029;-0,046;-0,018;-0,067;-0,034;;-0,032;-0,063;-0,065;-0,029;-0,038;0,023;
2023-07-27;-0,068;;-0,003;-0,033;-0,036;-0,028;-0,037;-0,014;-0,062;-0,031;;-0,029;-0,055;-0,060;-0,025;-0,033;0,028;
2023-07-28;-0,066;;-0,001;-0,021;-0,006;-0,028;-0,025;-0,010;-0,063;-0,026;;-0,023;-0,054;-0,060;-0,026;-0,033;0,028;
2023-07-31;-0,066;;-0,001;-0,023;-0,011;-0,027;-0,030;-0,009;-0,063;-0,025;;-0,023;-0,054;-0,060;-0,024;-0,035;0,028;
2023-08-01;-0,066;;-0,002;-0,024;-0,014;-0,030;-0,031;-0,011;-0,059;-0,020;;-0,019;-0,055;-0,056;-0,021;-0,033;0,032;
2023-08-02;-0,068;;-0,006;-0,030;-0,026;-0,029;-0,035;-0,011;-0,061;-0,026;;-0,026;-0,059;-0,059;-0,023;-0,036;0,031;
2023-08-03;;;;;;;;;;;;;;;;;;
2023-08-04;-0,074;;-0,014;-0,033;-0,013;-0,030;-0,036;-0,009;-0,070;-0,031;;-0,031;-0,065;-0,066;-0,030;-0,045;0,024;
2023-08-07;-0,073;;-0,015;-0,035;-0,017;-0,031;-0,037;-0,011;-0,070;-0,031;;-0,031;-0,064;-0,066;-0,030;-0,044;0,024;
