
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2023-07-27;-0,039;-0,002;;-0,044;-0,051;-0,036;-0,002;0,031;-0,071;-0,051;-0,008;-0,052;-0,053;-0,112;;;;
2023-07-28;-0,040;-0,004;;-0,046;-0,051;-0,035;-0,002;0,029;-0,072;-0,049;-0,008;-0,053;-0,054;-0,107;-0,000;0,032;0,059;
2023-07-31;-0,039;-0,004;;-0,044;-0,050;-0,035;-0,001;0,026;-0,071;-0,048;-0,008;-0,054;-0,055;-0,103;-0,001;0,034;0,059;
2023-08-01;-0,036;-0,005;;-0,041;-0,051;-0,035;0,003;0,030;-0,070;-0,048;-0,008;-0,055;-0,056;-0,106;-0,001;0,035;0,060;
2023-08-02;-0,037;-0,008;;-0,042;;;0,004;0,029;-0,073;;-0,008;-0,057;-0,059;;0,002;0,033;0,057;
2023-08-03;;;;;-0,053;-0,035;;;;-0,051;;;;-0,109;0,002;0,031;0,059;
2023-08-04;-0,045;-0,014;;-0,051;-0,052;-0,035;-0,003;0,018;-0,078;-0,053;-0,010;-0,063;-0,065;-0,104;;;;
2023-08-07;-0,043;-0,016;;-0,049;-0,051;-0,035;-0,004;0,018;-0,076;-0,051;-0,010;-0,063;-0,064;-0,108;-0,003;0,025;0,055;
2023-08-08;-0,040;-0,015;;-0,045;-0,051;-0,034;0,010;0,019;-0,069;-0,049;-0,008;-0,060;-0,062;-0,112;0,004;0,029;0,061;
2023-08-09;-0,040;-0,015;;-0,045;-0,051;-0,034;0,010;0,021;-0,067;-0,051;-0,009;-0,058;-0,060;-0,108;0,004;0,029;0,069;
2023-08-10;-0,041;-0,016;;-0,045;-0,051;-0,035;0,009;0,019;-0,065;-0,052;-0,009;-0,055;-0,056;-0,105;0,004;0,029;0,071;
2023-08-11;-0,038;-0,012;;-0,043;-0,051;-0,035;0,016;0,024;-0,068;-0,050;-0,011;-0,059;-0,061;-0,101;0,004;0,031;0,072;
2023-08-14;-0,037;-0,014;;-0,042;-0,051;-0,036;0,019;0,025;-0,069;-0,050;-0,011;-0,060;-0,062;-0,101;0,007;0,035;0,079;
2023-08-15;-0,038;-0,016;;-0,043;;;0,017;0,023;-0,072;;;-0,063;;;0,002;0,033;0,078;
2023-08-16;-0,038;-0,018;;-0,043;-0,053;-0,036;0,017;0,022;-0,070;-0,053;-0,012;-0,063;-0,065;-0,109;0,003;0,030;0,076;
